beta,day,prop_infected
0.02,0,0.0005
0.02,1,0.00041999
0.02,2,0.00035238307237199604
0.02,3,0.00029534658245503216
0.02,4,0.0002472977413261568
0.02,5,0.0002068746518308389
0.02,6,0.0001729093589413976
0.02,7,0.00014440318629630036
0.02,8,0.00012050446114735339
0.02,9,0.00010048860854477398
0.02,10,8.374051672331863e-05
0.02,11,6.973902749912513e-05
0.02,12,5.804337919750724e-05
0.02,13,4.828141862006782e-05
0.02,14,4.0139397958207264e-05
0.02,15,3.335317880444654e-05
0.02,16,2.770067591963793e-05
0.02,17,2.2995386336166393e-05
0.02,18,1.9080863416894723e-05
0.02,19,1.5826009755848656e-05
0.02,20,1.3121076707162856e-05
0.02,21,1.0874271488470346e-05
0.02,22,9.008885004458981e-06
0.02,23,7.460864666583791e-06
0.02,24,6.176766512879173e-06
0.02,25,5.112029875525563e-06
0.02,26,4.229525754211783e-06
0.02,27,3.498337001025431e-06
0.02,28,2.8927344886062833e-06
0.02,29,2.3913187025052587e-06
0.02,30,1.976300755487453e-06
0.02,31,1.6329007469103288e-06
0.02,32,1.348844760173776e-06
0.02,33,1.1139446753543065e-06
0.02,34,9.197474357640933e-07
0.02,35,7.592425030285593e-07
0.02,36,6.266180157257578e-07
0.02,37,5.1705767607635e-07
0.02,38,4.2657166649742724e-07
0.02,39,3.518559769008252e-07
0.02,40,2.901754337793918e-07
0.02,41,2.392664887190144e-07
0.02,42,1.972564687892645e-07
0.02,43,1.625965329792415e-07
0.02,44,1.3400603342212665e-07
0.02,45,1.1042636120187377e-07
0.02,46,9.098267563345409e-08
0.02,47,7.495218287773774e-08
0.02,48,6.173785291440088e-08
0.02,49,5.0846650286863874e-08
0.02,50,4.187150959141078e-08
0.02,51,3.447641641444535e-08
0.02,52,2.8384062541099904e-08
0.02,53,2.336563430745399e-08
0.02,54,1.9232367921751475e-08
0.02,55,1.5828567931840824e-08
0.02,56,1.3025836856730701e-08
0.02,57,1.0718307079185612e-08
0.02,58,8.818701876805318e-09
0.02,59,7.255082173597854e-09
0.02,60,5.9681602434085475e-09
0.02,61,4.909082042303388e-09
0.02,62,4.037596799105939e-09
0.02,63,3.3205465432743018e-09
0.02,64,2.730619889695056e-09
0.02,65,2.245324040603002e-09
0.02,66,1.8461369465557695e-09
0.02,67,1.5178081745186642e-09
0.02,68,1.2477824970263243e-09
0.02,69,1.0257247375410409e-09
0.02,70,8.431281457548567e-10
0.02,71,6.929916672794647e-10
0.02,72,5.695540265552187e-10
0.02,73,4.680746524189805e-10
0.02,74,3.8465321927661513e-10
0.02,75,3.16081016745453e-10
0.02,76,2.5971854956065187e-10
0.02,77,2.1339475101572432e-10
0.02,78,1.753240032613126e-10
0.02,79,1.4403782622444313e-10
0.02,80,1.1832864838454832e-10
0.02,81,9.720352753470528e-11
0.02,82,7.984606481456636e-11
0.02,83,6.558506464794399e-11
0.02,84,5.386874825545549e-11
0.02,85,4.424353864182656e-11
0.02,86,3.63366082240447e-11
0.02,87,2.984152304797025e-11
0.02,88,2.4506435183929508e-11
0.02,89,2.0124371808655286e-11
0.02,90,1.652524931240601e-11
0.02,91,1.356930651957085e-11
0.02,92,1.1141705255736454e-11
0.02,93,9.148091076862368e-12
0.02,94,7.510943681209648e-12
0.02,95,6.166576740507504e-12
0.02,96,5.062671758006719e-12
0.02,97,4.156251030747518e-12
0.02,98,3.412011638753101e-12
0.02,99,2.800956245261556e-12
0.04,0,0.0005
0.04,1,0.00043998
0.04,2,0.000385564257535968
0.04,3,0.00033665647779687873
0.04,4,0.000293015562779244
0.04,5,0.0002543108541813154
0.04,6,0.00022016211414340164
0.04,7,0.00019016797273879003
0.04,8,0.00016392571645341
0.04,9,0.0001410446257677879
0.04,10,0.00012115455179200605
0.04,11,0.00010391101971462627
0.04,12,8.899783541356637e-05
0.04,13,7.612793111188564e-05
0.04,14,6.504300085463495e-05
0.04,15,5.551233459057732e-05
0.04,16,4.733115116001196e-05
0.04,17,4.0318647992471654e-05
0.04,18,3.431592291902202e-05
0.04,19,2.9183876605265232e-05
0.04,20,2.4801169127777818e-05
0.04,21,2.1062278358579706e-05
0.04,22,1.787568892280242e-05
0.04,23,1.516222687566302e-05
0.04,24,1.2853545609527512e-05
0.04,25,1.0890761851578496e-05
0.04,26,9.223236180844135e-06
0.04,27,7.807489694056945e-06
