beta,r0
0.02,0.09999999999999999
0.04,0.19999999999999998
0.06,0.3
0.08,0.39999999999999997
0.1,0.5
0.12,0.6
0.14,0.7000000000000001
0.16,0.7999999999999999
0.18,0.8999999999999999
0.2,1.0
0.22,1.0999999999999999
0.24,1.2
0.26,1.3
0.28,1.4000000000000001
0.3,1.4999999999999998
0.32,1.5999999999999999
0.34,1.7
0.36,1.7999999999999998
0.38,1.9
0.4,2.0
0.42,2.0999999999999996
0.44,2.1999999999999997
0.46,2.3
0.48,2.4
0.5,2.5
0.52,2.6
0.54,2.7
0.56,2.8000000000000003
0.58,2.8999999999999995
0.6,2.9999999999999996
0.62,3.0999999999999996
0.64,3.1999999999999997
0.66,3.3
0.68,3.4
0.7000000000000001,3.5
0.72,3.5999999999999996
0.74,3.6999999999999997
0.76,3.8
0.78,3.9
0.8,4.0
0.8200000000000001,4.1
0.84,4.199999999999999
0.86,4.3
0.88,4.3999999999999995
0.9,4.5
0.92,4.6
0.9400000000000001,4.7
0.96,4.8
0.98,4.8999999999999995
1.0,5.0
