day,alpha,prop_infected
1,0.5,0.001
2,0.5,0.0013993999999999999
3,0.5,0.0019576912597299998
4,0.5,0.002737482519190921
5,0.5,0.0038254773470517266
6,0.5,0.0053411981661972575
7,0.5,0.007448343127657452
8,0.5,0.0103690524325037
9,0.5,0.014400807603344399
10,0.5,0.01993441104276155
11,0.5,0.027468934103155495
12,0.5,0.03761493644750581
13,0.5,0.051070042073609226
14,0.5,0.06854171638362219
15,0.5,0.09058512550136914
16,0.5,0.11733113685135882
17,0.5,0.1481219967626884
18,0.5,0.1811685070720712
19,0.5,0.2134671896962183
20,0.5,0.241246768313608
21,0.5,0.2609783563611737
22,0.5,0.2705194495930892
23,0.5,0.26970880096059346
24,0.5,0.26008911526442574
25,0.5,0.24408155218699384
26,0.5,0.2241795739777873
27,0.5,0.20247513850599985
28,0.5,0.18050857300556505
29,0.5,0.15930578200208959
30,0.5,0.1394850987891673
31,0.5,0.12137012645695198
32,0.5,0.10508416190799577
33,0.5,0.09062140021907629
34,0.5,0.07789761596266406
35,0.5,0.06678488688109074
36,0.5,0.05713466014256874
37,0.5,0.04879259998089419
38,0.5,0.04160777599635713
39,0.5,0.03543802692357302
40,0.5,0.030152786793316132
41,0.5,0.025634263027045284
42,0.5,0.021777574236068957
43,0.5,0.01849025839067333
44,0.5,0.0156914253794585
45,0.5,0.01331073392016401
46,0.5,0.011287308474861686
47,0.5,0.009568668186019388
48,0.5,0.008109710517514308
49,0.5,0.006871772810497084
50,0.5,0.005821782253569726
51,0.5,0.004931496670788475
52,0.5,0.004176833559958001
53,0.5,0.003537281937756602
54,0.5,0.0029953900578418968
55,0.5,0.0025363214764671273
56,0.5,0.0021474719153884753
57,0.5,0.0018181396895122753
58,0.5,0.0015392429767249589
59,0.5,0.0013030778108476587
60,0.5,0.0011031113120158786
61,0.5,0.0009338052923230694
62,0.5,0.0007904659647835214
63,0.5,0.0006691160278455062
64,0.5,0.0005663858901619285
65,0.5,0.00047942123995388906
66,0.5,0.00040580455170605487
67,0.5,0.00034348846333858037
68,0.5,0.00029073925346283057
69,0.5,0.000246088905224115
70,0.5,0.0002082944649440465
71,0.5,0.0001763035944882058
72,0.5,0.00014922537989350837
73,0.5,0.00012630559883527093
74,0.5,0.0001069057691705609
75,0.5,9.048540287502188e-05
76,0.5,7.658697666651315e-05
77,0.5,6.482320463727215e-05
78,0.5,5.486626116872121e-05
79,0.5,4.643865589701995e-05
80,0.5,3.930550792586373e-05
81,0.5,3.326800504178698e-05
82,0.5,2.8157866400783746e-05
83,0.5,2.3832654899219837e-05
84,0.5,2.0171808964321837e-05
85,0.5,1.707328343718319e-05
86,0.5,1.445070611675348e-05
87,0.5,1.2230970848164734e-05
88,0.5,1.0352200165246522e-05
89,0.5,8.762020768366551e-06
90,0.5,7.416103817647441e-06
91,0.5,6.2769293881548955e-06
92,0.5,5.312740671395777e-06
93,0.5,4.496658789016186e-06
94,0.5,3.8059335562667942e-06
95,0.5,3.2213093186069746e-06
96,0.5,2.726488189818287e-06
97,0.5,2.3076757332020105e-06
98,0.5,1.953196424240737e-06
99,0.5,1.6531681773670897e-06
100,0.5,1.399226865281185e-06
1,0.52,0.001
2,0.52,0.0013993999999999999
3,0.52,0.0019612797519656796
4,0.52,0.002750450881298385
5,0.52,0.0038570882615924663
6,0.52,0.005406044477912166
7,0.52,0.007569012866955396
8,0.52,0.010579832866259383
9,0.52,0.014752601225162532
10,0.52,0.02050079264945264
11,0.52,0.02835265775905691
12,0.52,0.03895290831208676
13,0.52,0.05303248446861638
14,0.52,0.07131795389604906
15,0.52,0.09434535594705538
16,0.52,0.12215473324554561
17,0.52,0.15389594076808283
18,0.52,0.18749094093158292
19,0.52,0.21962991927031256
20,0.52,0.24637160201234642
21,0.52,0.26429479416929913
22,0.52,0.2716364661522407
23,0.52,0.2687055241400313
24,0.52,0.25739320921832876
25,0.52,0.24025815335053963
26,0.52,0.21976193937805247
27,0.52,0.19788226401924025
28,0.52,0.17603007412299532
29,0.52,0.15512005038259002
30,0.52,0.13568703993368325
31,0.52,0.11799714539786314
32,0.52,0.10213669177945964
33,0.52,0.08807775912370745
34,0.52,0.07572418013709627
35,0.52,0.06494276458625314
36,0.52,0.05558389086364398
37,0.52,0.047494664523990385
38,0.52,0.040526984795798054
39,0.52,0.034542182292122324
40,0.52,0.02941338890868841
41,0.52,0.02502644036043564
42,0.52,0.021279857489035096
43,0.52,0.01808427498672812
44,0.52,0.01536156323787024
45,0.52,0.01304380435377156
46,0.52,0.011072225601217017
47,0.52,0.00939615414411278
48,0.52,0.007972030614575144
