day,lambda,value,group
1,1.0,0.0005,misinformed
2,1.0,0.00054985,misinformed
3,1.0,0.0006046206079865,misinformed
4,1.0,0.0006647871578239534,misinformed
5,1.0,0.0007308687239296417,misinformed
6,1.0,0.0008034316861119833,misinformed
7,1.0,0.0008830934850464116,misinformed
8,1.0,0.0009705265548347328,misinformed
9,1.0,0.001066462411695874,misinformed
10,1.0,0.0011716958686948538,misinformed
11,1.0,0.0012870893352304074,misinformed
12,1.0,0.0014135771464350525,misinformed
13,1.0,0.0015521698513298406,misinformed
14,1.0,0.001703958369131283,misinformed
15,1.0,0.0018701179001285374,misinformed
16,1.0,0.002051911450636708,misinformed
17,1.0,0.002250692800316355,misinformed
18,1.0,0.002467908704320831,misinformed
19,1.0,0.0027051000820909423,misinformed
20,1.0,0.002963901899129732,misinformed
21,1.0,0.0032460413979781347,misinformed
22,1.0,0.0035533342804454525,misinformed
23,1.0,0.003887678385972988,misinformed
24,1.0,0.004251044352494829,misinformed
25,1.0,0.00464546268877223,misinformed
26,1.0,0.005073006634368348,misinformed
27,1.0,0.005535770139834207,misinformed
28,1.0,0.0060358402713070955,misinformed
29,1.0,0.006575263338127784,misinformed
30,1.0,0.007156004068437086,misinformed
31,1.0,0.007779897226786075,misinformed
32,1.0,0.008448591191742181,misinformed
33,1.0,0.009163483203361905,misinformed
34,1.0,0.009925646263391815,misinformed
35,1.0,0.010735748037165803,misinformed
36,1.0,0.011593962574511552,misinformed
37,1.0,0.01249987624153246,misinformed
38,1.0,0.01345238993196247,misinformed
39,1.0,0.014449620390989092,misinformed
40,1.0,0.015488804306988232,misinformed
41,1.0,0.016566209661687627,misinformed
42,1.0,0.0176770596125975,misinformed
43,1.0,0.018815474830603984,misinformed
44,1.0,0.019974440632588655,misinformed
45,1.0,0.02114580532708489,misinformed
46,1.0,0.022320315825007812,misinformed
47,1.0,0.02348769566767567,misinformed
48,1.0,0.024636769133526654,misinformed
49,1.0,0.025755632996427285,misinformed
50,1.0,0.02683187488181623,misinformed
51,1.0,0.027852834137995955,misinformed
52,1.0,0.028805897921461134,misinformed
53,1.0,0.029678822065181604,misinformed
54,1.0,0.030460063575111357,misinformed
55,1.0,0.031139109603531973,misinformed
56,1.0,0.031706786757093375,misinformed
57,1.0,0.03215553480504618,misinformed
58,1.0,0.032479630328641776,misinformed
59,1.0,0.032675348522196765,misinformed
60,1.0,0.032741055004113076,misinformed
61,1.0,0.032677223788724535,misinformed
62,1.0,0.032486382099592384,misinformed
63,1.0,0.0321729870453327,misinformed
64,1.0,0.03174324294176169,misinformed
65,1.0,0.03120487094690125,misinformed
66,1.0,0.030566844494159463,misinformed
67,1.0,0.02983910470939815,misinformed
68,1.0,0.029032269646386277,misinformed
69,1.0,0.028157349935841187,misinformed
70,1.0,0.02722548154227706,misinformed
71,1.0,0.026247684013033023,misinformed
72,1.0,0.025234650131430766,misinformed
73,1.0,0.024196570465432547,misinformed
74,1.0,0.023142994101178295,misinformed
75,1.0,0.0220827249800617,misinformed
76,1.0,0.021023751778687115,misinformed
77,1.0,0.019973208197763628,misinformed
78,1.0,0.01893735983804599,misinformed
79,1.0,0.01792161349392349,misinformed
80,1.0,0.016930544629530093,misinformed
81,1.0,0.0159679389546624,misinformed
82,1.0,0.015036844326361785,misinformed
83,1.0,0.014139629610881846,misinformed
84,1.0,0.01327804760271131,misinformed
85,1.0,0.012453299574780065,misinformed
86,1.0,0.011666099498848581,misinformed
87,1.0,0.010916736407880764,misinformed
88,1.0,0.010205133760761969,misinformed
89,1.0,0.009530905007777174,misinformed
90,1.0,0.00889340484103038,misinformed
91,1.0,0.00829177584891122,misinformed
92,1.0,0.00772499048139116,misinformed
93,1.0,0.007191888378231142,misinformed
94,1.0,0.006691209220588306,misinformed
95,1.0,0.006221621343629727,misinformed
96,1.0,0.005781746398995461,misinformed
97,1.0,0.005370180386279326,misinformed
98,1.0,0.004985511386552331,misinformed
99,1.0,0.00462633433218997,misinformed
100,1.0,0.004291263139140567,misinformed
1,1.2,0.0005,misinformed
2,1.2,0.00057982,misinformed
3,1.2,0.000666920129986616,misinformed
4,1.2,0.0007628160038055106,misinformed
5,1.2,0.0008690909189590845,misinformed
6,1.2,0.0009874260748597029,misinformed
7,1.2,0.001119629209847803,misinformed
8,1.2,0.0012676622268628932,misinformed
9,1.2,0.0014336682132521927,misinformed
10,1.2,0.0016199981022197978,misinformed
11,1.2,0.001829237062985015,misinformed
12,1.2,0.002064230535151617,misinformed
13,1.2,0.0023281096314076264,misinformed
14,1.2,0.0026243154127038896,misinformed
15,1.2,0.0029566212826852996,misinformed
16,1.2,0.0033291524447596767,misinformed
17,1.2,0.003746401007880026,misinformed
18,1.2,0.004213234909541212,misinformed
19,1.2,0.004734898343188813,misinformed
20,1.2,0.005317000833540227,misinformed
21,1.2,0.00596549150600242,misinformed
22,1.2,0.006686614465142471,misinformed
23,1.2,0.007486840567039582,misinformed
24,1.2,0.008372770296827895,misinformed
25,1.2,0.009351002027506024,misinformed
26,1.2,0.010427959752468116,misinformed
27,1.2,0.011609674601237704,misinformed
28,1.2,0.012901515251024792,misinformed
29,1.2,0.014307863952521283,misinformed
30,1.2,0.015831737529469488,misinformed
31,1.2,0.017474356608240017,misinformed
32,1.2,0.019234671647984924,misinformed
33,1.2,0.021108861112760148,misinformed
34,1.2,0.023089825187947475,misinformed
35,1.2,0.025166707332229296,misinformed
36,1.2,0.02732448483470879,misinformed
37,1.2,0.029543677157407,misinformed
38,1.2,0.031800225544885916,misinformed
39,1.2,0.034065597299287036,misinformed
40,1.2,0.03630716143273743,misinformed
41,1.2,0.03848886778990153,misinformed
42,1.2,0.04057223885065721,misinformed
43,1.2,0.04251765341973644,misinformed
44,1.2,0.044285867176081704,misinformed
45,1.2,0.04583968112123913,misinformed
46,1.2,0.04714564091697217,misinformed
47,1.2,0.04817563352234713,misinformed
48,1.2,0.04890824670819229,misinformed
49,1.2,0.049329773703651714,misinformed
50,1.2,0.04943477794792005,misinformed
51,1.2,0.04922617706073448,misinformed
52,1.2,0.04871485385258781,misinformed
53,1.2,0.04791884789417865,misinformed
54,1.2,0.04686221722364015,misinformed
55,1.2,0.04557368183149099,misinformed
56,1.2,0.04408516718636234,misinformed
57,1.2,0.042430358597489795,misinformed
58,1.2,0.04064335904720119,misinformed
59,1.2,0.038757518663952946,misinformed
60,1.2,0.03680447762130171,misinformed
61,1.2,0.03481343954274924,misinformed
62,1.2,0.032810671899676444,misinformed
63,1.2,0.03081921461878942,misinformed
64,1.2,0.028858768337797325,misinformed
65,1.2,0.02694572890204311,misinformed
66,1.2,0.025093333808933114,misinformed
67,1.2,0.023311888271960027,misinformed
68,1.2,0.021609042337834852,misinformed
69,1.2,0.019990095161745956,misinformed
70,1.2,0.018458307452243673,misinformed
71,1.2,0.017015207774904877,misinformed
72,1.2,0.0156608825719821,misinformed
73,1.2,0.014394243276498069,misinformed
74,1.2,0.013213266739552936,misinformed
75,1.2,0.012115207381997941,misinformed
76,1.2,0.011096781097693914,misinformed
77,1.2,0.010154322064459698,misinformed
78,1.2,0.00928391435296183,misinformed
79,1.2,0.008481500650136666,misinformed
80,1.2,0.007742970608959637,misinformed
81,1.2,0.007064231365001628,misinformed
82,1.2,0.006441262674464182,misinformed
83,1.2,0.005870158969127051,misinformed
84,1.2,0.005347160421833969,misinformed
85,1.2,0.004868674894478605,misinformed
86,1.2,0.004431292414959444,misinformed
87,1.2,0.0040317936110616315,misinformed
88,1.2,0.0036671533245391454,misinformed
89,1.2,0.0033345404417198313,misinformed
90,1.2,0.0030313148095382505,misinformed
91,1.2,0.0027550219583545926,misinformed
92,1.2,0.002503386224610222,misinformed
93,1.2,0.002274302756066983,misinformed
94,1.2,0.0020658287885061983,misinformed
95,1.2,0.0018761745036028515,misinformed
96,1.2,0.0017036937114974994,misinformed
97,1.2,0.0015468745466815296,misinformed
98,1.2,0.001404330320621536,misinformed
99,1.2,0.0012747906376470988,misinformed
100,1.2,0.001157092850736134,misinformed
1,1.4,0.0005,misinformed
2,1.4,0.00060979,misinformed
3,1.4,0.000731010697632248,misinformed
4,1.4,0.0008666386121399892,misinformed
5,1.4,0.0010198667965393457,misinformed
6,1.4,0.0011941806853929125,misinformed
7,1.4,0.0013934341513679302,misinformed
8,1.4,0.001621926961678462,misinformed
9,1.4,0.00188448439117651,misinformed
10,1.4,0.0021865392517479688,misinformed
11,1.4,0.0025342159950646646,misinformed
12,1.4,0.0029344157887112358,misinformed
13,1.4,0.003394900498334891,misinformed
14,1.4,0.003924372268117507,misinformed
15,1.4,0.004532543811173781,misinformed
16,1.4,0.005230192533180925,misinformed
17,1.4,0.006029189158730884,misinformed
18,1.4,0.006942488577643939,misinformed
19,1.4,0.007984067194429683,misinformed
20,1.4,0.009168787250583982,misinformed
21,1.4,0.010512164634513464,misinformed
22,1.4,0.012030013035545285,misinformed
23,1.4,0.013737934649534793,misinformed
24,1.4,0.01565062706645437,misinformed
25,1.4,0.01778097892880354,misinformed
26,1.4,0.020138935298151316,misinformed
27,1.4,0.022730129518607183,misinformed
28,1.4,0.02555430376336939,misinformed
29,1.4,0.028603576765637635,misinformed
30,1.4,0.03186066425731563,misinformed
31,1.4,0.03529721241124206,misinformed
32,1.4,0.0388724602248434,misinformed
33,1.4,0.042532491780780286,misinformed
34,1.4,0.04621035799374517,misinformed
