recovery,day,prop_infected
1,0,0.0005
1,1,0.00029985
1,2,8.98380854865e-05
1,3,2.6913976824794654e-05
1,4,8.062756811619983e-06
1,5,2.415381539545898e-06
1,6,7.235805337237807e-07
1,7,2.1676426726632014e-07
1,8,6.493643095563839e-08
1,9,1.9453113026240798e-08
1,10,5.827600831678992e-09
1,11,1.7457838860793296e-09
1,12,5.229873252472712e-10
1,13,1.5667216567130589e-10
1,14,4.6934536091639095e-11
1,15,1.406025549334277e-11
1,16,4.212053660215253e-12
1,17,1.2618117817886088e-12
1,18,3.780030125677854e-13
1,19,1.1323897872290199e-13
1,20,3.3923185466425076e-14
1,21,1.0162423974216703e-14
1,22,3.0443739174774124e-15
1,23,9.120080576180755e-16
1,24,2.732117406423896e-16
1,25,8.184648655385402e-17
1,26,2.4518885409022055e-17
1,27,7.345162474447674e-18
1,28,2.200402297087376e-18
1,29,6.591781033940277e-19
1,30,1.9747105907374596e-19
1,31,5.915672709837796e-20
1,32,1.7721677178452076e-20
1,33,5.308911723513526e-21
1,34,1.5903993399862379e-21
1,35,4.764385230641361e-22
1,36,1.427274650789905e-22
1,37,4.275709939838803e-23
1,38,1.2808813972502485e-23
1,39,3.83715728360096e-24
1,40,1.1495034630607013e-24
1,41,3.4435862643308775e-25
1,42,1.0316007511899157e-25
1,43,3.0903831882439647e-26
1,44,9.257911298692639e-27
1,45,2.7734075806684292e-27
1,46,8.308342303512143e-28
1,47,2.488943648725898e-28
1,48,7.456169065054379e-29
1,49,2.2336567224064292e-29
1,50,6.691401858006347e-30
1,51,2.0045541634120318e-30
1,52,6.005075587030597e-31
1,53,1.7989502835169155e-31
1,54,5.389144692125091e-32
1,55,1.6144348611948145e-32
1,56,4.836388833370409e-33
1,57,1.4488448874449465e-33
1,58,4.340328249439968e-34
1,59,1.3002392096029287e-34
1,60,3.8951477976509956e-35
1,61,1.166875775895016e-35
1,62,3.49562878510469e-36
1,63,1.0471912139816222e-36
1,64,3.137087791796122e-37
1,65,9.397825040966187e-38
1,66,2.8153217685388554e-38
1,67,8.433905319431097e-39
1,68,2.526558766106683e-39
1,69,7.568853285420944e-40
1,70,2.2674137180076372e-40
1,71,6.792528240059933e-41
1,72,2.0348487585473935e-41
1,73,6.095829599562082e-42
1,74,1.826137611004752e-42
1,75,5.470590212307951e-43
1,76,1.6388336284543936e-43
1,77,4.909480618216346e-44
1,78,1.4707411125907774e-44
1,79,4.405923128077491e-45
1,80,1.3198895743339047e-45
1,81,3.95401471563009e-46
1,82,1.1845106344831364e-46
1,83,3.5484578184733885e-47
1,84,1.0630172936336081e-47
1,85,3.1844982366178157e-48
1,86,9.539853283438024e-49
1,87,2.8578694006808956e-49
1,88,8.561365954681393e-50
1,89,2.5647423564041947e-50
1,90,7.683240489371809e-51
1,91,2.3016808791775212e-51
1,92,6.895182933424694e-52
1,93,2.0656011923938083e-52
1,94,6.18795516698429e-53
1,95,1.8537358174272108e-53
1,96,5.553266609213706e-54
1,97,1.6636011314605147e-54
1,98,4.983677030749598e-55
1,99,1.4929682528537413e-55
2,0,0.0005
2,1,0.00054985
2,2,0.0005146431079865
2,3,0.0004489565857019602
2,4,0.00037766843039541695
2,5,0.0003112879963524895
2,6,0.0002535258099419178
2,7,0.00020500176855514692
2,8,0.00016503768558124676
2,9,0.00013250420879938173
2,10,0.00010620473320120097
2,11,8.503568598658992e-05
2,12,6.804131479836173e-05
2,13,5.442079131594681e-05
2,14,4.351552915129699e-05
2,15,3.478985717688623e-05
2,16,2.781097060881145e-05
2,17,2.2230601509469338e-05
2,18,1.7769213446065522e-05
2,19,1.4202789540932615e-05
2,20,1.1351981913147921e-05
2,21,9.073293184606512e-06
2,22,7.251954737719459e-06
2,23,5.7961975820895335e-06
2,24,4.632654611676208e-06
2,25,3.7026763686182578e-06
2,26,2.9593815928185143e-06
2,27,2.365297410147076e-06
2,28,1.8904719880305135e-06
2,29,1.5109654216338772e-06
2,30,1.2076432338722291e-06
2,31,9.652119008801173e-07
2,32,7.714479001318552e-07
2,33,6.165814754664468e-07
2,34,4.928040828763398e-07
2,35,3.9387470064283297e-07
2,36,3.148051636101318e-07
2,37,2.5160866127679197e-07
2,38,2.0109872170058353e-07
2,39,1.6072854741956354e-07
2,40,1.2846260344722185e-07
2,41,1.0267398317531228e-07
2,42,8.206237753962248e-08
2,43,6.558851151453438e-08
2,44,5.242174223072977e-08
2,45,4.189817659342199e-08
2,46,3.34871966609223e-08
2,47,2.6764704959860323e-08
2,48,2.1391740733849795e-08
2,49,1.709738892795491e-08
2,50,1.3665120154796269e-08
2,51,1.0921872881998968e-08
2,52,8.729327346977365e-09
2,53,6.976931215032279e-09
2,54,5.576325322288983e-09
2,55,4.456888439520912e-09
2,56,3.562176415799904e-09
2,57,2.847076157080184e-09
2,58,2.27553093805725e-09
2,59,1.8187223532896524e-09
2,60,1.453617238152816e-09
2,61,1.1618062926435677e-09
2,62,9.285758492525208e-10
2,63,7.421659816806332e-10
2,64,5.931775468314571e-10
2,65,4.740982620072117e-10
2,66,3.789239212170547e-10
2,67,3.028556516005148e-10
2,68,2.420579450562859e-10
2,69,1.9346526456823778e-10
2,70,1.546274739494203e-10
2,71,1.2358629727573687e-10
2,72,9.877657885724594e-11
2,73,7.894736508561018e-11
2,74,6.309882895315818e-11
2,75,5.0431856856870954e-11
2,76,4.030775575727393e-11
2,77,3.221604904990715e-11
2,78,2.5748737355441376e-11
2,79,2.0579726408102643e-11
2,80,1.644838475707358e-11
2,81,1.3146402228631414e-11
2,82,1.0507286527470227e-11
2,83,8.397968375693595e-12
2,84,6.712091904478271e-12
2,85,5.364651987082456e-12
2,86,4.2877081172390585e-12
2,87,3.4269587184582577e-12
2,88,2.739003154341028e-12
2,89,2.189153385209824e-12
2,90,1.749684930584591e-12
2,91,1.3984389476759424e-12
2,92,1.117704940010664e-12
2,93,8.933277602144813e-13
2,94,7.139938803188144e-13
2,95,5.706609419708061e-13
2,96,4.561018233735698e-13
2,97,3.6454023393688666e-13
2,98,2.913594626213764e-13
2,99,2.328695945087667e-13
3,0,0.0005
3,1,0.0006331833333333333
3,2,0.0007118003377087223
3,3,0.0007543616398972458
3,4,0.0007731990862019074
3,5,0.0007765254489213761
3,6,0.0007698075718145375
3,7,0.0007566818073048016
3,8,0.0007395643139774088
3,9,0.0007200579267967148
3,10,0.0006992234083837716
3,11,0.0006777602869675847
3,12,0.0006561274181363137
3,13,0.0006346233618541417
3,14,0.0006134399691000818
3,15,0.0005926981077429634
3,16,0.0005724714807698209
3,17,0.0005528025056512948
